# z[m]	| T [degC]
0.105515	|19.162709
0.105627	|19.163940
0.105739	|19.165170
0.105851	|19.166401
0.105963	|19.167631
0.106075	|19.168862
0.106187	|19.170092
0.106299	|19.171323
0.106411	|19.172553
0.106523	|19.173784
0.106635	|19.175014
0.106747	|19.176245
0.106859	|19.177475
0.106971	|19.178706
0.107083	|19.179936
0.107195	|19.181167
0.107307	|19.182397
0.107419	|19.183627
0.107531	|19.184858
0.107643	|19.186088
0.107755	|19.187319
0.107867	|19.188549
0.107979	|19.189779
0.108091	|19.191010
0.108203	|19.192240
0.108315	|19.193471
0.108427	|19.194701
0.108539	|19.195931
0.108651	|19.197162
0.108763	|19.198392
0.108875	|19.199622
0.108987	|19.200853
0.109099	|19.202083
0.109211	|19.203313
0.109323	|19.204543
0.109435	|19.205774
0.109547	|19.207004
0.109659	|19.208234
0.109771	|19.209464
0.109883	|19.210695
0.109995	|19.211925
0.110107	|19.213155
0.110219	|19.214385
0.110331	|19.215616
0.110443	|19.216846
0.110555	|19.218076
0.110667	|19.219306
0.110779	|19.220536
0.110891	|19.221767
0.111003	|19.222997
0.111115	|19.224227
0.111227	|19.225457
0.111339	|19.226687
0.111451	|19.227917
0.111563	|19.229147
0.111675	|19.230378
0.111787	|19.231608
0.111899	|19.232838
0.112011	|19.234068
0.112123	|19.235298
0.112235	|19.236528
0.112347	|19.237758
0.112459	|19.238988
0.112571	|19.240218
0.112683	|19.241448
0.112795	|19.242678
0.112907	|19.243908
0.113019	|19.245138
0.113131	|19.246368
0.113243	|19.247598
0.113355	|19.248828
0.113467	|19.250058
0.113579	|19.251288
0.113691	|19.252518
0.113803	|19.253748
0.113915	|19.254978
0.114027	|19.256208
0.114139	|19.257438
0.114251	|19.258668
0.114363	|19.259898
0.114475	|19.261128
0.114587	|19.262358
0.114699	|19.263588
0.114811	|19.264818
0.114923	|19.266047
0.115036	|19.267277
0.115148	|19.268507
0.115260	|19.269737
0.115372	|19.270967
0.115484	|19.272197
0.115596	|19.273427
0.115708	|19.274656
0.115820	|19.275886
0.115932	|19.277116
0.116044	|19.278346
0.116156	|19.279576
0.116268	|19.280806
0.116380	|19.282035
0.116492	|19.283265
0.116604	|19.284495
0.116716	|19.285725
0.116828	|19.286954
0.116940	|19.288184
0.117052	|19.289414
0.117164	|19.290644
0.117276	|19.291873
0.117388	|19.293103
0.117500	|19.294333
0.117612	|19.295562
0.117724	|19.296792
0.117836	|19.298022
0.117948	|19.299251
0.118060	|19.300481
0.118172	|19.301711
0.118284	|19.302940
0.118396	|19.304170
0.118508	|19.305400
0.118620	|19.306629
0.118732	|19.307859
0.118844	|19.309089
0.118956	|19.310318
0.119068	|19.311548
0.119180	|19.312777
0.119292	|19.314007
0.119404	|19.315237
0.119516	|19.316466
0.119628	|19.317696
0.119740	|19.318925
0.119852	|19.320155
0.119964	|19.321384
0.120076	|19.322614
0.120188	|19.323843
0.120300	|19.325073
0.120412	|19.326302
0.120524	|19.327532
0.120636	|19.328761
0.120748	|19.329991
0.120860	|19.331220
0.120972	|19.332450
0.121084	|19.333679
0.121196	|19.334909
0.121308	|19.336138
0.121420	|19.337368
0.121532	|19.338597
0.121644	|19.339826
0.121756	|19.341056
0.121868	|19.342285
0.121980	|19.343515
0.122092	|19.344744
0.122204	|19.345973
0.122316	|19.347203
0.122428	|19.348432
0.122540	|19.349661
0.122652	|19.350891
0.122764	|19.352120
0.122876	|19.353349
0.122988	|19.354579
0.123100	|19.355808
0.123212	|19.357037
0.123324	|19.358267
0.123436	|19.359496
0.123548	|19.360725
0.123660	|19.361954
0.123772	|19.363184
0.123884	|19.364413
0.123996	|19.365642
0.124108	|19.366871
0.124220	|19.368101
0.124332	|19.369330
0.124444	|19.370559
