# z[m]	| T [degC]
0.577530	|24.279729
0.577642	|24.280928
0.577754	|24.282126
0.577866	|24.283325
0.577978	|24.284523
0.578090	|24.285721
0.578202	|24.286920
0.578314	|24.288118
0.578426	|24.289317
0.578538	|24.290515
0.578650	|24.291713
0.578762	|24.292912
0.578874	|24.294110
0.578986	|24.295308
0.579098	|24.296507
0.579210	|24.297705
0.579322	|24.298903
0.579434	|24.300102
0.579546	|24.301300
0.579658	|24.302498
0.579770	|24.303697
0.579882	|24.304895
0.579994	|24.306093
0.580106	|24.307291
0.580218	|24.308490
0.580330	|24.309688
0.580442	|24.310886
0.580554	|24.312084
0.580666	|24.313283
0.580778	|24.314481
0.580890	|24.315679
0.581002	|24.316877
0.581114	|24.318076
0.581226	|24.319274
0.581338	|24.320472
0.581450	|24.321670
0.581562	|24.322868
0.581674	|24.324067
0.581786	|24.325265
0.581898	|24.326463
0.582010	|24.327661
0.582122	|24.328859
0.582234	|24.330057
0.582346	|24.331255
0.582458	|24.332454
0.582570	|24.333652
0.582682	|24.334850
0.582794	|24.336048
0.582906	|24.337246
0.583018	|24.338444
0.583130	|24.339642
0.583242	|24.340840
0.583354	|24.342038
0.583466	|24.343236
0.583578	|24.344434
0.583690	|24.345632
0.583802	|24.346830
0.583914	|24.348028
0.584026	|24.349226
0.584138	|24.350424
0.584250	|24.351622
0.584362	|24.352820
0.584474	|24.354018
0.584586	|24.355216
0.584698	|24.356414
0.584810	|24.357612
0.584922	|24.358810
0.585035	|24.360008
0.585147	|24.361206
0.585259	|24.362404
0.585371	|24.363602
0.585483	|24.364800
0.585595	|24.365998
0.585707	|24.367196
0.585819	|24.368394
0.585931	|24.369592
0.586043	|24.370789
0.586155	|24.371987
0.586267	|24.373185
0.586379	|24.374383
0.586491	|24.375581
0.586603	|24.376779
0.586715	|24.377977
0.586827	|24.379174
0.586939	|24.380372
0.587051	|24.381570
0.587163	|24.382768
0.587275	|24.383966
0.587387	|24.385164
0.587499	|24.386361
0.587611	|24.387559
0.587723	|24.388757
0.587835	|24.389955
0.587947	|24.391152
0.588059	|24.392350
0.588171	|24.393548
0.588283	|24.394746
0.588395	|24.395943
0.588507	|24.397141
0.588619	|24.398339
0.588731	|24.399536
0.588843	|24.400734
0.588955	|24.401932
0.589067	|24.403130
0.589179	|24.404327
0.589291	|24.405525
0.589403	|24.406723
0.589515	|24.407920
0.589627	|24.409118
0.589739	|24.410316
0.589851	|24.411513
0.589963	|24.412711
0.590075	|24.413908
0.590187	|24.415106
0.590299	|24.416304
0.590411	|24.417501
0.590523	|24.418699
0.590635	|24.419896
0.590747	|24.421094
0.590859	|24.422292
0.590971	|24.423489
0.591083	|24.424687
0.591195	|24.425884
0.591307	|24.427082
0.591419	|24.428279
0.591531	|24.429477
0.591643	|24.430674
0.591755	|24.431872
0.591867	|24.433069
0.591979	|24.434267
0.592091	|24.435464
0.592203	|24.436662
0.592315	|24.437859
0.592427	|24.439057
0.592539	|24.440254
0.592651	|24.441452
0.592763	|24.442649
0.592875	|24.443847
0.592987	|24.445044
0.593099	|24.446241
0.593211	|24.447439
0.593323	|24.448636
0.593435	|24.449834
0.593547	|24.451031
0.593659	|24.452228
0.593771	|24.453426
0.593883	|24.454623
0.593995	|24.455821
0.594107	|24.457018
0.594219	|24.458215
0.594331	|24.459413
0.594443	|24.460610
0.594555	|24.461807
0.594667	|24.463005
0.594779	|24.464202
0.594891	|24.465399
0.595004	|24.466596
0.595116	|24.467794
0.595228	|24.468991
0.595340	|24.470188
0.595452	|24.471386
0.595564	|24.472583
0.595676	|24.473780
0.595788	|24.474977
0.595900	|24.476175
0.596012	|24.477372
0.596124	|24.478569
0.596236	|24.479766
0.596348	|24.480964
0.596460	|24.482161
0.596572	|24.483358
0.596684	|24.484555
0.596796	|24.485752
0.596908	|24.486949
0.597020	|24.488147
0.597132	|24.489344
0.597244	|24.490541
0.597356	|24.491738
0.597468	|24.492935
0.597580	|24.494132
0.597692	|24.495329
0.597804	|24.496527
0.597916	|24.497724
0.598028	|24.498921
0.598140	|24.500118
0.598252	|24.501315
0.598364	|24.502512
0.598476	|24.503709
0.598588	|24.504906
0.598700	|24.506103
0.598812	|24.507300
0.598924	|24.508497
0.599036	|24.509694
0.599148	|24.510891
0.599260	|24.512088
0.599372	|24.513285
0.599484	|24.514482
0.599596	|24.515679
0.599708	|24.516876
0.599820	|24.518073
0.599932	|24.519270
0.600044	|24.520467
0.600156	|24.521664
0.600268	|24.522861
0.600380	|24.524058
0.600492	|24.525255
0.600604	|24.526452
0.600716	|24.527649
0.600828	|24.528846
0.600940	|24.530043
0.601052	|24.531240
0.601164	|24.532437
0.601276	|24.533634
0.601388	|24.534830
0.601500	|24.536027
0.601612	|24.537224
0.601724	|24.538421
0.601836	|24.539618
0.601948	|24.540815
0.602060	|24.542012
0.602172	|24.543208
0.602284	|24.544405
0.602396	|24.545602
0.602508	|24.546799
0.602620	|24.547996
0.602732	|24.549192
0.602844	|24.550389
0.602956	|24.551586
0.603068	|24.552783
0.603180	|24.553980
0.603292	|24.555176
0.603404	|24.556373
0.603516	|24.557570
0.603628	|24.558767
0.603740	|24.559963
0.603852	|24.561160
0.603964	|24.562357
0.604076	|24.563553
0.604188	|24.564750
0.604300	|24.565947
0.604412	|24.567143
0.604524	|24.568340
0.604636	|24.569537
0.604748	|24.570733
0.604860	|24.571930
0.604972	|24.573127
0.605085	|24.574323
0.605197	|24.575520
0.605309	|24.576717
0.605421	|24.577913
0.605533	|24.579110
0.605645	|24.580307
0.605757	|24.581503
0.605869	|24.582700
0.605981	|24.583896
0.606093	|24.585093
0.606205	|24.586289
0.606317	|24.587486
0.606429	|24.588683
0.606541	|24.589879
0.606653	|24.591076
0.606765	|24.592272
0.606877	|24.593469
0.606989	|24.594665
0.607101	|24.595862
0.607213	|24.597058
0.607325	|24.598255
0.607437	|24.599451
0.607549	|24.600648
0.607661	|24.601844
0.607773	|24.603041
0.607885	|24.604237
0.607997	|24.605434
0.608109	|24.606630
0.608221	|24.607826
0.608333	|24.609023
0.608445	|24.610219
0.608557	|24.611416
0.608669	|24.612612
0.608781	|24.613808
0.608893	|24.615005
0.609005	|24.616201
0.609117	|24.617398
0.609229	|24.618594
0.609341	|24.619790
0.609453	|24.620987
0.609565	|24.622183
0.609677	|24.623379
0.609789	|24.624576
0.609901	|24.625772
0.610013	|24.626968
0.610125	|24.628165
0.610237	|24.629361
0.610349	|24.630557
0.610461	|24.631754
0.610573	|24.632950
0.610685	|24.634146
0.610797	|24.635342
0.610909	|24.636539
0.611021	|24.637735
0.611133	|24.638931
0.611245	|24.640127
0.611357	|24.641324
0.611469	|24.642520
0.611581	|24.643716
0.611693	|24.644912
0.611805	|24.646109
0.611917	|24.647305
0.612029	|24.648501
0.612141	|24.649697
0.612253	|24.650893
0.612365	|24.652089
0.612477	|24.653286
0.612589	|24.654482
0.612701	|24.655678
0.612813	|24.656874
0.612925	|24.658070
0.613037	|24.659266
0.613149	|24.660462
0.613261	|24.661658
0.613373	|24.662855
0.613485	|24.664051
0.613597	|24.665247
0.613709	|24.666443
0.613821	|24.667639
0.613933	|24.668835
0.614045	|24.670031
0.614157	|24.671227
0.614269	|24.672423
0.614381	|24.673619
0.614493	|24.674815
0.614605	|24.676011
0.614717	|24.677207
0.614829	|24.678403
0.614941	|24.679599
0.615054	|24.680795
0.615166	|24.681991
0.615278	|24.683187
0.615390	|24.684383
0.615502	|24.685579
0.615614	|24.686775
0.615726	|24.687971
0.615838	|24.689167
0.615950	|24.690363
0.616062	|24.691559
0.616174	|24.692755
0.616286	|24.693951
0.616398	|24.695147
0.616510	|24.696342
0.616622	|24.697538
0.616734	|24.698734
0.616846	|24.699930
0.616958	|24.701126
0.617070	|24.702322
0.617182	|24.703518
0.617294	|24.704714
0.617406	|24.705909
0.617518	|24.707105
0.617630	|24.708301
0.617742	|24.709497
0.617854	|24.710693
0.617966	|24.711888
0.618078	|24.713084
0.618190	|24.714280
0.618302	|24.715476
0.618414	|24.716672
0.618526	|24.717867
0.618638	|24.719063
0.618750	|24.720259
0.618862	|24.721455
0.618974	|24.722650
0.619086	|24.723846
0.619198	|24.725042
0.619310	|24.726237
0.619422	|24.727433
0.619534	|24.728629
0.619646	|24.729825
0.619758	|24.731020
0.619870	|24.732216
0.619982	|24.733412
0.620094	|24.734607
0.620206	|24.735803
0.620318	|24.736999
0.620430	|24.738194
0.620542	|24.739390
0.620654	|24.740585
0.620766	|24.741781
0.620878	|24.742977
0.620990	|24.744172
0.621102	|24.745368
0.621214	|24.746564
0.621326	|24.747759
0.621438	|24.748955
0.621550	|24.750150
0.621662	|24.751346
0.621774	|24.752541
0.621886	|24.753737
0.621998	|24.754932
0.622110	|24.756128
0.622222	|24.757324
0.622334	|24.758519
0.622446	|24.759715
0.622558	|24.760910
0.622670	|24.762106
0.622782	|24.763301
0.622894	|24.764496
0.623006	|24.765692
0.623118	|24.766887
0.623230	|24.768083
0.623342	|24.769278
0.623454	|24.770474
0.623566	|24.771669
0.623678	|24.772865
0.623790	|24.774060
0.623902	|24.775255
0.624014	|24.776451
0.624126	|24.777646
0.624238	|24.778842
0.624350	|24.780037
0.624462	|24.781232
0.624574	|24.782428
0.624686	|24.783623
0.624798	|24.784819
0.624910	|24.786014
0.625023	|24.787209
0.625135	|24.788405
0.625247	|24.789600
0.625359	|24.790795
0.625471	|24.791991
0.625583	|24.793186
0.625695	|24.794381
0.625807	|24.795576
0.625919	|24.796772
0.626031	|24.797967
0.626143	|24.799162
0.626255	|24.800358
0.626367	|24.801553
0.626479	|24.802748
0.626591	|24.803943
0.626703	|24.805139
0.626815	|24.806334
0.626927	|24.807529
0.627039	|24.808724
0.627151	|24.809919
0.627263	|24.811115
0.627375	|24.812310
0.627487	|24.813505
0.627599	|24.814700
0.627711	|24.815895
0.627823	|24.817090
0.627935	|24.818286
0.628047	|24.819481
0.628159	|24.820676
0.628271	|24.821871
0.628383	|24.823066
0.628495	|24.824261
0.628607	|24.825456
0.628719	|24.826651
0.628831	|24.827847
0.628943	|24.829042
0.629055	|24.830237
0.629167	|24.831432
0.629279	|24.832627
0.629391	|24.833822
0.629503	|24.835017
0.629615	|24.836212
0.629727	|24.837407
0.629839	|24.838602
0.629951	|24.839797
0.630063	|24.840992
0.630175	|24.842187
0.630287	|24.843382
0.630399	|24.844577
0.630511	|24.845772
0.630623	|24.846967
0.630735	|24.848162
0.630847	|24.849357
0.630959	|24.850552
0.631071	|24.851747
0.631183	|24.852942
0.631295	|24.854137
0.631407	|24.855332
0.631519	|24.856527
0.631631	|24.857722
0.631743	|24.858916
0.631855	|24.860111
0.631967	|24.861306
0.632079	|24.862501
0.632191	|24.863696
0.632303	|24.864891
0.632415	|24.866086
0.632527	|24.867281
0.632639	|24.868475
0.632751	|24.869670
0.632863	|24.870865
0.632975	|24.872060
0.633087	|24.873255
0.633199	|24.874450
0.633311	|24.875644
0.633423	|24.876839
0.633535	|24.878034
0.633647	|24.879229
0.633759	|24.880424
0.633871	|24.881618
0.633983	|24.882813
0.634095	|24.884008
0.634207	|24.885203
0.634319	|24.886397
0.634431	|24.887592
0.634543	|24.888787
0.634655	|24.889981
0.634767	|24.891176
0.634879	|24.892371
0.634991	|24.893566
0.635104	|24.894760
0.635216	|24.895955
0.635328	|24.897150
0.635440	|24.898344
0.635552	|24.899539
0.635664	|24.900734
0.635776	|24.901928
0.635888	|24.903123
0.636000	|24.904318
0.636112	|24.905512
0.636224	|24.906707
0.636336	|24.907901
0.636448	|24.909096
0.636560	|24.910291
0.636672	|24.911485
0.636784	|24.912680
0.636896	|24.913874
0.637008	|24.915069
0.637120	|24.916263
0.637232	|24.917458
0.637344	|24.918653
0.637456	|24.919847
0.637568	|24.921042
0.637680	|24.922236
0.637792	|24.923431
0.637904	|24.924625
0.638016	|24.925820
0.638128	|24.927014
0.638240	|24.928209
0.638352	|24.929403
0.638464	|24.930598
0.638576	|24.931792
0.638688	|24.932986
0.638800	|24.934181
0.638912	|24.935375
0.639024	|24.936570
0.639136	|24.937764
0.639248	|24.938959
0.639360	|24.940153
0.639472	|24.941347
0.639584	|24.942542
0.639696	|24.943736
0.639808	|24.944931
0.639920	|24.946125
0.640032	|24.947319
0.640144	|24.948514
0.640256	|24.949708
0.640368	|24.950902
0.640480	|24.952097
0.640592	|24.953291
0.640704	|24.954485
0.640816	|24.955680
0.640928	|24.956874
0.641040	|24.958068
0.641152	|24.959263
0.641264	|24.960457
0.641376	|24.961651
0.641488	|24.962845
0.641600	|24.964040
0.641712	|24.965234
0.641824	|24.966428
0.641936	|24.967622
0.642048	|24.968817
0.642160	|24.970011
0.642272	|24.971205
0.642384	|24.972399
0.642496	|24.973594
0.642608	|24.974788
0.642720	|24.975982
0.642832	|24.977176
0.642944	|24.978370
0.643056	|24.979565
0.643168	|24.980759
0.643280	|24.981953
0.643392	|24.983147
0.643504	|24.984341
0.643616	|24.985535
0.643728	|24.986729
0.643840	|24.987924
0.643952	|24.989118
0.644064	|24.990312
0.644176	|24.991506
0.644288	|24.992700
0.644400	|24.993894
0.644512	|24.995088
0.644624	|24.996282
0.644736	|24.997476
0.644848	|24.998670
0.644960	|24.999864
0.645073	|25.001058
0.645185	|25.002252
0.645297	|25.003446
0.645409	|25.004640
0.645521	|25.005834
0.645633	|25.007028
0.645745	|25.008222
0.645857	|25.009416
0.645969	|25.010610
0.646081	|25.011804
0.646193	|25.012998
0.646305	|25.014192
0.646417	|25.015386
0.646529	|25.016580
0.646641	|25.017774
0.646753	|25.018968
0.646865	|25.020162
0.646977	|25.021356
0.647089	|25.022550
0.647201	|25.023744
0.647313	|25.024938
0.647425	|25.026132
0.647537	|25.027325
0.647649	|25.028519
0.647761	|25.029713
0.647873	|25.030907
0.647985	|25.032101
0.648097	|25.033295
0.648209	|25.034489
0.648321	|25.035682
0.648433	|25.036876
0.648545	|25.038070
0.648657	|25.039264
0.648769	|25.040458
0.648881	|25.041651
0.648993	|25.042845
0.649105	|25.044039
0.649217	|25.045233
0.649329	|25.046427
0.649441	|25.047620
0.649553	|25.048814
0.649665	|25.050008
0.649777	|25.051202
0.649889	|25.052395
0.650001	|25.053589
0.650113	|25.054783
0.650225	|25.055976
0.650337	|25.057170
0.650449	|25.058364
0.650561	|25.059557
0.650673	|25.060751
0.650785	|25.061945
0.650897	|25.063139
0.651009	|25.064332
0.651121	|25.065526
0.651233	|25.066719
0.651345	|25.067913
0.651457	|25.069107
0.651569	|25.070300
0.651681	|25.071494
0.651793	|25.072688
0.651905	|25.073881
0.652017	|25.075075
0.652129	|25.076268
0.652241	|25.077462
0.652353	|25.078655
0.652465	|25.079849
0.652577	|25.081043
0.652689	|25.082236
0.652801	|25.083430
0.652913	|25.084623
0.653025	|25.085817
0.653137	|25.087010
0.653249	|25.088204
0.653361	|25.089397
0.653473	|25.090591
0.653585	|25.091784
0.653697	|25.092978
0.653809	|25.094171
0.653921	|25.095365
0.654033	|25.096558
0.654145	|25.097752
0.654257	|25.098945
0.654369	|25.100138
0.654481	|25.101332
0.654593	|25.102525
0.654705	|25.103719
0.654817	|25.104912
0.654929	|25.106106
0.655042	|25.107299
0.655154	|25.108492
0.655266	|25.109686
0.655378	|25.110879
0.655490	|25.112072
0.655602	|25.113266
0.655714	|25.114459
0.655826	|25.115653
0.655938	|25.116846
0.656050	|25.118039
0.656162	|25.119233
0.656274	|25.120426
0.656386	|25.121619
0.656498	|25.122812
0.656610	|25.124006
0.656722	|25.125199
0.656834	|25.126392
0.656946	|25.127586
0.657058	|25.128779
0.657170	|25.129972
0.657282	|25.131165
0.657394	|25.132359
0.657506	|25.133552
0.657618	|25.134745
0.657730	|25.135938
0.657842	|25.137132
0.657954	|25.138325
0.658066	|25.139518
0.658178	|25.140711
0.658290	|25.141904
0.658402	|25.143097
0.658514	|25.144291
0.658626	|25.145484
0.658738	|25.146677
0.658850	|25.147870
0.658962	|25.149063
0.659074	|25.150256
0.659186	|25.151450
0.659298	|25.152643
0.659410	|25.153836
0.659522	|25.155029
0.659634	|25.156222
0.659746	|25.157415
0.659858	|25.158608
0.659970	|25.159801
0.660082	|25.160994
0.660194	|25.162187
0.660306	|25.163380
0.660418	|25.164573
0.660530	|25.165766
0.660642	|25.166960
0.660754	|25.168153
0.660866	|25.169346
0.660978	|25.170539
0.661090	|25.171732
0.661202	|25.172925
0.661314	|25.174118
0.661426	|25.175311
0.661538	|25.176504
0.661650	|25.177696
0.661762	|25.178889
0.661874	|25.180082
0.661986	|25.181275
0.662098	|25.182468
0.662210	|25.183661
0.662322	|25.184854
0.662434	|25.186047
0.662546	|25.187240
0.662658	|25.188433
0.662770	|25.189626
0.662882	|25.190819
0.662994	|25.192012
0.663106	|25.193204
0.663218	|25.194397
0.663330	|25.195590
0.663442	|25.196783
0.663554	|25.197976
0.663666	|25.199169
0.663778	|25.200361
0.663890	|25.201554
0.664002	|25.202747
0.664114	|25.203940
0.664226	|25.205133
0.664338	|25.206326
0.664450	|25.207518
0.664562	|25.208711
0.664674	|25.209904
0.664786	|25.211097
0.664898	|25.212289
0.665011	|25.213482
0.665123	|25.214675
0.665235	|25.215868
0.665347	|25.217060
0.665459	|25.218253
0.665571	|25.219446
0.665683	|25.220639
0.665795	|25.221831
0.665907	|25.223024
0.666019	|25.224217
0.666131	|25.225409
0.666243	|25.226602
0.666355	|25.227795
0.666467	|25.228987
0.666579	|25.230180
0.666691	|25.231373
0.666803	|25.232565
0.666915	|25.233758
0.667027	|25.234950
0.667139	|25.236143
0.667251	|25.237336
0.667363	|25.238528
0.667475	|25.239721
0.667587	|25.240913
0.667699	|25.242106
0.667811	|25.243299
0.667923	|25.244491
0.668035	|25.245684
0.668147	|25.246876
0.668259	|25.248069
0.668371	|25.249261
0.668483	|25.250454
0.668595	|25.251646
0.668707	|25.252839
0.668819	|25.254031
0.668931	|25.255224
0.669043	|25.256416
0.669155	|25.257609
0.669267	|25.258801
0.669379	|25.259994
0.669491	|25.261186
0.669603	|25.262379
0.669715	|25.263571
0.669827	|25.264764
0.669939	|25.265956
0.670051	|25.267148
0.670163	|25.268341
0.670275	|25.269533
0.670387	|25.270726
0.670499	|25.271918
0.670611	|25.273110
0.670723	|25.274303
0.670835	|25.275495
0.670947	|25.276688
0.671059	|25.277880
0.671171	|25.279072
0.671283	|25.280265
0.671395	|25.281457
0.671507	|25.282649
0.671619	|25.283842
0.671731	|25.285034
0.671843	|25.286226
0.671955	|25.287419
0.672067	|25.288611
0.672179	|25.289803
0.672291	|25.290995
0.672403	|25.292188
0.672515	|25.293380
0.672627	|25.294572
0.672739	|25.295764
0.672851	|25.296957
0.672963	|25.298149
0.673075	|25.299341
0.673187	|25.300533
0.673299	|25.301726
0.673411	|25.302918
0.673523	|25.304110
0.673635	|25.305302
0.673747	|25.306494
0.673859	|25.307687
0.673971	|25.308879
0.674083	|25.310071
0.674195	|25.311263
0.674307	|25.312455
0.674419	|25.313647
0.674531	|25.314840
0.674643	|25.316032
0.674755	|25.317224
0.674867	|25.318416
0.674979	|25.319608
0.675092	|25.320800
0.675204	|25.321992
0.675316	|25.323184
0.675428	|25.324376
0.675540	|25.325568
0.675652	|25.326761
0.675764	|25.327953
0.675876	|25.329145
0.675988	|25.330337
0.676100	|25.331529
0.676212	|25.332721
0.676324	|25.333913
0.676436	|25.335105
0.676548	|25.336297
0.676660	|25.337489
0.676772	|25.338681
0.676884	|25.339873
0.676996	|25.341065
0.677108	|25.342257
0.677220	|25.343449
0.677332	|25.344641
0.677444	|25.345833
0.677556	|25.347024
0.677668	|25.348216
0.677780	|25.349408
0.677892	|25.350600
0.678004	|25.351792
0.678116	|25.352984
0.678228	|25.354176
0.678340	|25.355368
0.678452	|25.356560
0.678564	|25.357752
0.678676	|25.358944
0.678788	|25.360135
0.678900	|25.361327
0.679012	|25.362519
0.679124	|25.363711
0.679236	|25.364903
0.679348	|25.366095
0.679460	|25.367286
0.679572	|25.368478
0.679684	|25.369670
0.679796	|25.370862
0.679908	|25.372054
0.680020	|25.373245
0.680132	|25.374437
0.680244	|25.375629
0.680356	|25.376821
0.680468	|25.378012
0.680580	|25.379204
0.680692	|25.380396
0.680804	|25.381588
0.680916	|25.382779
0.681028	|25.383971
0.681140	|25.385163
0.681252	|25.386354
0.681364	|25.387546
0.681476	|25.388738
0.681588	|25.389930
0.681700	|25.391121
0.681812	|25.392313
0.681924	|25.393505
0.682036	|25.394696
0.682148	|25.395888
0.682260	|25.397079
0.682372	|25.398271
0.682484	|25.399463
0.682596	|25.400654
0.682708	|25.401846
0.682820	|25.403038
0.682932	|25.404229
0.683044	|25.405421
0.683156	|25.406612
0.683268	|25.407804
0.683380	|25.408995
0.683492	|25.410187
0.683604	|25.411379
0.683716	|25.412570
0.683828	|25.413762
0.683940	|25.414953
0.684052	|25.416145
0.684164	|25.417336
0.684276	|25.418528
0.684388	|25.419719
0.684500	|25.420911
0.684612	|25.422102
0.684724	|25.423294
0.684836	|25.424485
0.684948	|25.425677
0.685061	|25.426868
0.685173	|25.428060
0.685285	|25.429251
0.685397	|25.430442
0.685509	|25.431634
0.685621	|25.432825
0.685733	|25.434017
0.685845	|25.435208
0.685957	|25.436400
0.686069	|25.437591
0.686181	|25.438782
0.686293	|25.439974
0.686405	|25.441165
0.686517	|25.442356
0.686629	|25.443548
0.686741	|25.444739
0.686853	|25.445930
0.686965	|25.447122
0.687077	|25.448313
0.687189	|25.449504
0.687301	|25.450696
0.687413	|25.451887
0.687525	|25.453078
0.687637	|25.454270
0.687749	|25.455461
0.687861	|25.456652
0.687973	|25.457843
0.688085	|25.459035
0.688197	|25.460226
0.688309	|25.461417
0.688421	|25.462608
0.688533	|25.463800
0.688645	|25.464991
0.688757	|25.466182
0.688869	|25.467373
0.688981	|25.468565
0.689093	|25.469756
0.689205	|25.470947
0.689317	|25.472138
0.689429	|25.473329
0.689541	|25.474520
0.689653	|25.475712
0.689765	|25.476903
0.689877	|25.478094
0.689989	|25.479285
0.690101	|25.480476
0.690213	|25.481667
0.690325	|25.482858
0.690437	|25.484050
0.690549	|25.485241
0.690661	|25.486432
0.690773	|25.487623
0.690885	|25.488814
0.690997	|25.490005
0.691109	|25.491196
0.691221	|25.492387
0.691333	|25.493578
0.691445	|25.494769
0.691557	|25.495960
0.691669	|25.497151
0.691781	|25.498342
0.691893	|25.499533
0.692005	|25.500724
0.692117	|25.501915
0.692229	|25.503106
0.692341	|25.504297
0.692453	|25.505488
0.692565	|25.506679
0.692677	|25.507870
0.692789	|25.509061
0.692901	|25.510252
0.693013	|25.511443
0.693125	|25.512634
0.693237	|25.513825
0.693349	|25.515016
0.693461	|25.516207
0.693573	|25.517398
0.693685	|25.518589
0.693797	|25.519780
0.693909	|25.520970
0.694021	|25.522161
0.694133	|25.523352
0.694245	|25.524543
0.694357	|25.525734
0.694469	|25.526925
0.694581	|25.528116
0.694693	|25.529306
0.694805	|25.530497
0.694917	|25.531688
0.695030	|25.532879
0.695142	|25.534070
0.695254	|25.535261
0.695366	|25.536451
0.695478	|25.537642
0.695590	|25.538833
0.695702	|25.540024
0.695814	|25.541214
0.695926	|25.542405
0.696038	|25.543596
0.696150	|25.544787
0.696262	|25.545977
0.696374	|25.547168
0.696486	|25.548359
0.696598	|25.549550
0.696710	|25.550740
0.696822	|25.551931
0.696934	|25.553122
0.697046	|25.554312
0.697158	|25.555503
0.697270	|25.556694
0.697382	|25.557884
0.697494	|25.559075
0.697606	|25.560266
0.697718	|25.561456
0.697830	|25.562647
0.697942	|25.563838
0.698054	|25.565028
0.698166	|25.566219
0.698278	|25.567409
0.698390	|25.568600
0.698502	|25.569791
0.698614	|25.570981
0.698726	|25.572172
0.698838	|25.573362
0.698950	|25.574553
0.699062	|25.575744
0.699174	|25.576934
0.699286	|25.578125
0.699398	|25.579315
0.699510	|25.580506
0.699622	|25.581696
0.699734	|25.582887
0.699846	|25.584077
0.699958	|25.585268
0.700070	|25.586458
0.700182	|25.587649
0.700294	|25.588839
0.700406	|25.590030
0.700518	|25.591220
0.700630	|25.592411
0.700742	|25.593601
0.700854	|25.594791
0.700966	|25.595982
0.701078	|25.597172
0.701190	|25.598363
0.701302	|25.599553
0.701414	|25.600744
0.701526	|25.601934
0.701638	|25.603124
0.701750	|25.604315
0.701862	|25.605505
0.701974	|25.606695
0.702086	|25.607886
0.702198	|25.609076
0.702310	|25.610267
0.702422	|25.611457
0.702534	|25.612647
0.702646	|25.613838
0.702758	|25.615028
0.702870	|25.616218
0.702982	|25.617408
0.703094	|25.618599
0.703206	|25.619789
0.703318	|25.620979
0.703430	|25.622170
0.703542	|25.623360
0.703654	|25.624550
0.703766	|25.625740
0.703878	|25.626931
0.703990	|25.628121
0.704102	|25.629311
0.704214	|25.630501
0.704326	|25.631692
0.704438	|25.632882
0.704550	|25.634072
0.704662	|25.635262
0.704774	|25.636452
0.704886	|25.637643
0.704998	|25.638833
0.705111	|25.640023
0.705223	|25.641213
0.705335	|25.642403
0.705447	|25.643593
0.705559	|25.644783
0.705671	|25.645974
0.705783	|25.647164
0.705895	|25.648354
0.706007	|25.649544
0.706119	|25.650734
0.706231	|25.651924
0.706343	|25.653114
0.706455	|25.654304
0.706567	|25.655494
0.706679	|25.656684
0.706791	|25.657875
0.706903	|25.659065
0.707015	|25.660255
0.707127	|25.661445
0.707239	|25.662635
0.707351	|25.663825
0.707463	|25.665015
0.707575	|25.666205
0.707687	|25.667395
0.707799	|25.668585
0.707911	|25.669775
0.708023	|25.670965
0.708135	|25.672155
0.708247	|25.673345
0.708359	|25.674535
0.708471	|25.675725
0.708583	|25.676915
0.708695	|25.678104
0.708807	|25.679294
0.708919	|25.680484
0.709031	|25.681674
0.709143	|25.682864
0.709255	|25.684054
0.709367	|25.685244
0.709479	|25.686434
0.709591	|25.687624
0.709703	|25.688814
0.709815	|25.690003
0.709927	|25.691193
0.710039	|25.692383
0.710151	|25.693573
0.710263	|25.694763
0.710375	|25.695953
0.710487	|25.697143
0.710599	|25.698332
0.710711	|25.699522
0.710823	|25.700712
0.710935	|25.701902
0.711047	|25.703092
0.711159	|25.704281
0.711271	|25.705471
0.711383	|25.706661
0.711495	|25.707851
0.711607	|25.709040
0.711719	|25.710230
0.711831	|25.711420
0.711943	|25.712610
0.712055	|25.713799
0.712167	|25.714989
0.712279	|25.716179
0.712391	|25.717368
0.712503	|25.718558
0.712615	|25.719748
0.712727	|25.720937
0.712839	|25.722127
0.712951	|25.723317
0.713063	|25.724506
0.713175	|25.725696
0.713287	|25.726886
0.713399	|25.728075
0.713511	|25.729265
0.713623	|25.730455
0.713735	|25.731644
0.713847	|25.732834
0.713959	|25.734023
0.714071	|25.735213
0.714183	|25.736403
0.714295	|25.737592
0.714407	|25.738782
0.714519	|25.739971
0.714631	|25.741161
0.714743	|25.742350
0.714855	|25.743540
0.714967	|25.744730
0.715080	|25.745919
0.715192	|25.747109
0.715304	|25.748298
0.715416	|25.749488
0.715528	|25.750677
0.715640	|25.751867
0.715752	|25.753056
0.715864	|25.754246
0.715976	|25.755435
0.716088	|25.756625
0.716200	|25.757814
0.716312	|25.759003
0.716424	|25.760193
0.716536	|25.761382
0.716648	|25.762572
0.716760	|25.763761
0.716872	|25.764951
0.716984	|25.766140
0.717096	|25.767329
0.717208	|25.768519
0.717320	|25.769708
0.717432	|25.770898
0.717544	|25.772087
0.717656	|25.773276
0.717768	|25.774466
0.717880	|25.775655
0.717992	|25.776844
0.718104	|25.778034
0.718216	|25.779223
0.718328	|25.780412
0.718440	|25.781602
0.718552	|25.782791
0.718664	|25.783980
0.718776	|25.785169
0.718888	|25.786359
0.719000	|25.787548
0.719112	|25.788737
0.719224	|25.789927
0.719336	|25.791116
0.719448	|25.792305
0.719560	|25.793494
0.719672	|25.794684
0.719784	|25.795873
