Run No.	HPCF No.	P (bars)	T_m	T_U	DT	Ra(Tm)	Pr(Tm)	Nu(Tm)	Nu(Tm)/Ra(Tm)^0.312	Nu(Tm)/Ra(Tm)^0.321	nu(Tm)	kappa(Tm)	alpha(Tm)	T_c	Ra(T_C)	Pr(T_C)	Nu(T_C)	Nu(T_C)/Ra(T_C)^0.312	Nu(T_C)/Ra(T_C)^0.321	nu(T_C)	kappa(T_C)	alpha(T_C)	T_c - T_m (K)	(T_c - T_m)/(T_m+273.15)	alpha*DT	Nu(Tm)/Nu(Tc)	T_m - T_U (K)
141218	4	13.149	21.557	23.885	15.103	40800000000000	0.83	1781.51	0.101	7.62e-2	1.654e-3	1.9935e-3	6.4752e-3	21.45	40940000000000	0.83	1782.34	0.10093	7.61198e-2	1.65241e-3	1.9916e-3	6.4846e-3	-0.107	-3.630725e-4	9.779495e-2	0.9995343	-2.328
141219	4	13.131	21.516	23.656	13.024	35080000000000	0.83	1707.12	0.1014	7.66e-2	1.6559e-3	1.9961e-3	6.4715e-3	21.417	35190000000000	0.83	1707.86	0.10139	7.65721e-2	1.65448e-3	1.9943e-3	6.4801e-3	-9.9e-2	-3.359736e-4	8.428482e-2	0.9995667	-2.14
141219	4	13.129	21.522	23.616	12.038	32390000000000	0.83	1663.29	0.1013	7.66e-2	1.6564e-3	1.9967e-3	6.47e-3	21.427	32490000000000	0.83	1663.98	0.10127	7.65361e-2	1.65495e-3	1.9949e-3	6.4784e-3	-9.5e-2	-3.223924e-4	7.788586e-2	0.9995853	-2.094
141220	4	13.126	21.524	23.528	11.043	29690000000000	0.83	1615.13	0.1011	7.65e-2	1.6569e-3	1.9973e-3	6.4685e-3	21.44	29770000000000	0.83	1615.73	0.10105	7.64327e-2	1.65561e-3	1.9958e-3	6.4759e-3	-8.4e-2	-2.850608e-4	7.143165e-2	0.9996287	-2.004
141222	4	10.063	21.534	23.51	11.066	13160000000000	0.81	1239.83	0.1	7.62e-2	2.2449e-3	2.7715e-3	5.38e-3	21.476	13180000000000	0.81	1240.19	0.10001	7.62015e-2	2.24384e-3	2.7701e-3	5.383e-3	-5.8e-2	-1.96821e-4	5.953508e-2	0.9997097	-1.976
141223	4	10.064	21.569	23.56	12.03	14300000000000	0.81	1275.53	0.1003	7.64e-2	2.2453e-3	2.7719e-3	5.3784e-3	21.509	14320000000000	0.81	1275.91	0.10026	7.63369e-2	2.24419e-3	2.7705e-3	5.3816e-3	-6e-2	-2.035838e-4	6.470215e-2	0.9997022	-1.991
141224	4	10.072	21.973	23.685	12.713	14990000000000	0.81	1293.45	0.1002	7.63e-2	2.2507e-3	2.7786e-3	5.3595e-3	21.898	15020000000000	0.81	1293.93	0.10019	7.62494e-2	2.24936e-3	2.7769e-3	5.3635e-3	-7.5e-2	-2.541313e-4	6.813532e-2	0.999629	-1.712
141226	4	10.066	21.531	23.605	12.064	14360000000000	0.81	1277.04	0.1003	7.63e-2	2.2441e-3	2.7705e-3	5.381e-3	21.47	14390000000000	0.81	1277.42	0.10024	7.63195e-2	2.24302e-3	2.7691e-3	5.3842e-3	-6.1e-2	-2.070035e-4	6.491638e-2	0.9997025	-2.074
141226	4	10.063	21.542	23.557	13.081	15560000000000	0.81	1312.44	0.1005	7.65e-2	2.2451e-3	2.7717e-3	5.3795e-3	21.476	15580000000000	0.81	1312.87	0.10049	7.64516e-2	2.24388e-3	2.7702e-3	5.383e-3	-6.6e-2	-2.239626e-4	7.036924e-2	0.9996725	-2.015
141227	4	10.056	21.537	23.368	14.069	16700000000000	0.81	1341.88	0.1005	7.64e-2	2.2466e-3	2.7737e-3	5.3778e-3	21.474	16730000000000	0.81	1342.3	0.10049	7.64046e-2	2.24548e-3	2.7723e-3	5.3812e-3	-6.3e-2	-2.137862e-4	7.566027e-2	0.9996871	-1.831
141228	4	10.06	21.508	23.496	15.011	17850000000000	0.81	1370.98	0.1006	7.64e-2	2.2452e-3	2.7718e-3	5.3805e-3	21.438	17890000000000	0.81	1371.46	0.10055	7.64059e-2	2.24386e-3	2.7702e-3	5.3842e-3	-7e-2	-2.375635e-4	8.076669e-2	0.99965	-1.988
141229	4	10.061	21.504	23.543	16	19040000000000	0.81	1401.84	0.1008	7.65e-2	2.2448e-3	2.7713e-3	5.3811e-3	21.428	19080000000000	0.81	1402.37	0.10077	7.65289e-2	2.24335e-3	2.7695e-3	5.3851e-3	-7.6e-2	-2.579296e-4	8.60976e-2	0.9996221	-2.039
141230	4	10.063	21.494	23.626	17.381	20700000000000	0.81	1438.71	0.1008	7.65e-2	2.2442e-3	2.7705e-3	5.3821e-3	21.413	20740000000000	0.81	1439.28	0.10076	7.64623e-2	2.24267e-3	2.7687e-3	5.3864e-3	-8.1e-2	-2.74908e-4	9.354628e-2	0.999604	-2.132
150103	4	5.05	21.51	23.738	17.014	3446000000000	0.789	808.03	9.9e-2	7.64e-2	4.7376e-3	6.0051e-3	4.1886e-3	21.532	3444000000000	0.789	807.94	9.9039e-2	7.6379e-2	4.7384e-3	6.006e-3	4.188e-3	2.2e-2	7.466232e-5	7.126484e-2	1.000111	-2.228
150104	4	5.052	21.534	23.763	16.063	3254000000000	0.789	793.1	9.9e-2	7.64e-2	4.7367e-3	6.0038e-3	4.1883e-3	21.555	3253000000000	0.789	793.01	9.8958e-2	7.63555e-2	4.73743e-3	6.0047e-3	4.1878e-3	2.1e-2	7.126278e-5	6.727666e-2	1.000113	-2.229
150105	4	5.05	21.524	23.686	15.043	3046000000000	0.789	774.34	9.86e-2	7.62e-2	4.7382e-3	6.0058e-3	4.1882e-3	21.557	3043000000000	0.789	774.2	9.8637e-2	7.61534e-2	4.73935e-3	6.0072e-3	4.1874e-3	3.3e-2	1.119882e-4	6.300309e-2	1.000181	-2.162
150106	4	5.051	21.507	23.743	14.01	2839000000000	0.789	756.16	9.85e-2	7.61e-2	4.7364e-3	6.0034e-3	4.1889e-3	21.54	2837000000000	0.789	756.03	9.8455e-2	7.60612e-2	4.7375e-3	6.0048e-3	4.1881e-3	3.3e-2	1.119946e-4	5.868649e-2	1.000172	-2.236
150107	4	5.062	21.504	24.54	14.005	2853000000000	0.789	757.65	9.85e-2	7.61e-2	4.7251e-3	5.989e-3	4.1911e-3	21.489	2854000000000	0.789	757.71	9.8493e-2	7.6086e-2	4.72464e-3	5.9883e-3	4.1915e-3	-1.5e-2	-5.090717e-5	5.869636e-2	0.9999208	-3.036
150109	4	5.061	21.526	24.502	15.029	3059000000000	0.789	775.98	9.87e-2	7.62e-2	4.7268e-3	5.9911e-3	4.1904e-3	21.508	3060000000000	0.789	776.05	9.8704e-2	7.62017e-2	4.72618e-3	5.9903e-3	4.1908e-3	-1.8e-2	-6.108404e-5	6.297752e-2	0.9999098	-2.976
150110	4	5.061	21.485	24.491	12.968	2642000000000	0.789	737.81	9.82e-2	7.6e-2	4.7256e-3	5.9896e-3	4.1913e-3	21.473	2642000000000	0.789	737.86	9.8248e-2	7.59496e-2	4.72521e-3	5.9891e-3	4.1916e-3	-1.2e-2	-4.072836e-5	5.435278e-2	0.9999322	-3.006
150111	4	5.062	21.509	24.502	11.013	2243000000000	0.789	699.89	9.81e-2	7.59e-2	4.7259e-3	5.9899e-3	4.1909e-3	21.496	2243000000000	0.789	699.93	9.8077e-2	7.59295e-2	4.72541e-3	5.9893e-3	4.1912e-3	-1.3e-2	-4.411879e-5	4.615438e-2	0.9999429	-2.993
150112	4	5.061	21.517	24.49	9.032	1838000000000	0.789	657.48	9.8e-2	7.6e-2	4.7269e-3	5.9912e-3	4.1905e-3	21.508	1839000000000	0.789	657.51	9.8032e-2	7.60307e-2	4.72663e-3	5.9909e-3	4.1907e-3	-9e-3	-3.054295e-5	3.78486e-2	0.9999544	-2.973
150113	4	5.06	21.509	24.525	7.017	1428000000000	0.789	607.9	9.81e-2	7.62e-2	4.7271e-3	5.9914e-3	4.1906e-3	21.508	1428000000000	0.789	607.9	9.8071e-2	7.62338e-2	4.72702e-3	5.9914e-3	4.1907e-3	-1e-3	-3.393753e-6	2.940544e-2	1	-3.016
150114	4	5.06	21.497	24.522	5.996	1220000000000	0.789	578.4	9.8e-2	7.63e-2	4.7272e-3	5.9916e-3	4.1908e-3	21.503	1220000000000	0.789	578.39	9.8003e-2	7.62886e-2	4.72739e-3	5.9919e-3	4.1907e-3	6e-3	2.036335e-5	2.512804e-2	1.000017	-3.025
150119	4	11.063	21.512	24.514	12.019	18890000000000	0.816	1391.47	0.1003	7.62e-2	2.0171e-3	2.4719e-3	5.6964e-3	21.454	18920000000000	0.816	1391.85	0.10028	7.61573e-2	2.01612e-3	2.4707e-3	5.6999e-3	-5.8e-2	-1.968357e-4	6.846503e-2	0.999727	-3.002
150120	4	11.061	21.431	24.491	9.857	15520000000000	0.816	1306.9	0.1002	7.62e-2	2.0162e-3	2.4708e-3	5.7007e-3	21.383	15540000000000	0.816	1307.19	0.10014	7.61913e-2	2.01536e-3	2.4697e-3	5.7036e-3	-4.8e-2	-1.629433e-4	5.61918e-2	0.9997782	-3.06
150121	4	11.06	21.437	24.507	7.87	12380000000000	0.816	1210.68	9.96e-2	7.59e-2	2.0165e-3	2.4712e-3	5.7e-3	21.407	12390000000000	0.816	1210.86	9.9543e-2	7.58876e-2	2.01597e-3	2.4705e-3	5.7018e-3	-3e-2	-1.018375e-4	4.4859e-2	0.9998513	-3.07
150122	4	11.062	21.414	24.521	15.322	24140000000000	0.816	1508.09	0.1007	7.63e-2	2.0157e-3	2.4702e-3	5.7019e-3	21.337	24190000000000	0.816	1508.64	0.10067	7.6288e-2	2.01443e-3	2.4686e-3	5.7067e-3	-7.7e-2	-2.614033e-4	8.736451e-2	0.9996354	-3.107
150124	4	11.061	21.414	24.504	15.322	24130000000000	0.816	1508.17	0.1007	7.63e-2	2.0158e-3	2.4703e-3	5.7019e-3	21.336	24190000000000	0.816	1508.73	0.10068	7.62938e-2	2.01446e-3	2.4686e-3	5.7067e-3	-7.8e-2	-2.647981e-4	8.736451e-2	0.9996288	-3.09
150126	4	11.062	21.415	24.502	15.323	24140000000000	0.816	1507.76	0.1007	7.63e-2	2.0157e-3	2.4701e-3	5.702e-3	21.335	24190000000000	0.816	1508.34	0.10065	7.62675e-2	2.01432e-3	2.4684e-3	5.707e-3	-8e-2	-2.715869e-4	8.737175e-2	0.9996155	-3.087
150128	4	8.032	21.514	24.489	16.023	10260000000000	0.799	1146.99	0.1	7.64e-2	2.8799e-3	3.6024e-3	4.8313e-3	21.389	10290000000000	0.799	1147.73	9.9979e-2	7.6348e-2	2.8771e-3	3.5989e-3	4.8361e-3	-0.125	-4.24212e-4	7.741192e-2	0.9993552	-2.975
150201	4	8.032	21.431	24.488	13.854	8894000000000	0.799	1095.13	9.99e-2	7.64e-2	2.8779e-3	3.5998e-3	4.8346e-3	21.325	8916000000000	0.799	1095.73	9.9829e-2	7.63315e-2	2.8755e-3	3.5969e-3	4.8387e-3	-0.106	-3.598331e-4	6.697855e-2	0.9994524	-3.057
150202	4	8.032	21.431	24.467	11.858	7612000000000	0.799	1039.92	9.95e-2	7.62e-2	2.8779e-3	3.5998e-3	4.8346e-3	21.336	7629000000000	0.799	1040.43	9.9512e-2	7.61962e-2	2.87573e-3	3.5971e-3	4.8383e-3	-9.5e-2	-3.224919e-4	5.732869e-2	0.9995098	-3.036
