#z [m]	|p [pa]
0.543814	|803191.606102
0.543926	|803191.664014
0.544038	|803191.721926
0.544150	|803191.779838
0.544262	|803191.837749
0.544374	|803191.895660
0.544486	|803191.953571
0.544598	|803192.011481
0.544710	|803192.069391
0.544822	|803192.127301
0.544934	|803192.185210
0.545047	|803192.243119
0.545159	|803192.301028
0.545271	|803192.358937
0.545383	|803192.416845
0.545495	|803192.474752
0.545607	|803192.532660
0.545719	|803192.590567
0.545831	|803192.648474
0.545943	|803192.706380
0.546055	|803192.764286
0.546167	|803192.822192
0.546279	|803192.880098
0.546391	|803192.938003
0.546503	|803192.995908
0.546615	|803193.053812
0.546727	|803193.111717
0.546839	|803193.169620
0.546951	|803193.227524
0.547063	|803193.285427
0.547175	|803193.343330
0.547287	|803193.401233
0.547399	|803193.459135
0.547511	|803193.517037
0.547623	|803193.574939
0.547735	|803193.632840
0.547847	|803193.690741
0.547959	|803193.748641
0.548071	|803193.806542
0.548183	|803193.864442
0.548295	|803193.922341
0.548407	|803193.980241
0.548519	|803194.038140
0.548631	|803194.096038
0.548743	|803194.153937
0.548855	|803194.211835
0.548967	|803194.269732
0.549079	|803194.327630
0.549191	|803194.385527
0.549303	|803194.443424
0.549415	|803194.501320
0.549527	|803194.559216
0.549639	|803194.617112
0.549751	|803194.675007
0.549863	|803194.732902
0.549975	|803194.790797
0.550087	|803194.848692
0.550199	|803194.906586
0.550311	|803194.964480
0.550423	|803195.022373
0.550535	|803195.080266
0.550647	|803195.138159
0.550759	|803195.196052
0.550871	|803195.253944
0.550983	|803195.311836
0.551095	|803195.369727
0.551207	|803195.427619
0.551319	|803195.485509
0.551431	|803195.543400
0.551543	|803195.601290
0.551655	|803195.659180
0.551767	|803195.717070
0.551879	|803195.774959
0.551991	|803195.832848
0.552103	|803195.890737
0.552215	|803195.948625
0.552327	|803196.006513
0.552439	|803196.064401
0.552551	|803196.122288
0.552663	|803196.180175
0.552775	|803196.238062
0.552887	|803196.295948
0.552999	|803196.353834
0.553111	|803196.411720
0.553223	|803196.469605
0.553335	|803196.527490
0.553447	|803196.585375
0.553559	|803196.643259
0.553671	|803196.701143
0.553783	|803196.759027
0.553895	|803196.816910
0.554007	|803196.874794
0.554119	|803196.932676
0.554231	|803196.990559
0.554343	|803197.048441
0.554455	|803197.106323
0.554567	|803197.164204
0.554679	|803197.222085
0.554791	|803197.279966
0.554903	|803197.337847
0.555016	|803197.395727
0.555128	|803197.453607
0.555240	|803197.511486
0.555352	|803197.569366
0.555464	|803197.627244
0.555576	|803197.685123
0.555688	|803197.743001
0.555800	|803197.800879
0.555912	|803197.858757
0.556024	|803197.916634
0.556136	|803197.974511
0.556248	|803198.032388
0.556360	|803198.090264
0.556472	|803198.148140
0.556584	|803198.206016
0.556696	|803198.263891
0.556808	|803198.321766
0.556920	|803198.379641
0.557032	|803198.437515
0.557144	|803198.495389
0.557256	|803198.553263
0.557368	|803198.611136
0.557480	|803198.669009
0.557592	|803198.726882
0.557704	|803198.784754
0.557816	|803198.842626
0.557928	|803198.900498
0.558040	|803198.958370
0.558152	|803199.016241
0.558264	|803199.074111
0.558376	|803199.131982
0.558488	|803199.189852
0.558600	|803199.247722
0.558712	|803199.305591
0.558824	|803199.363461
0.558936	|803199.421329
0.559048	|803199.479198
0.559160	|803199.537066
0.559272	|803199.594934
0.559384	|803199.652802
0.559496	|803199.710669
0.559608	|803199.768536
0.559720	|803199.826402
0.559832	|803199.884268
0.559944	|803199.942134
0.560056	|803200.000000
0.560168	|803200.057865
0.560280	|803200.115730
0.560392	|803200.173595
0.560504	|803200.231459
0.560616	|803200.289323
0.560728	|803200.347187
0.560840	|803200.405050
0.560952	|803200.462913
0.561064	|803200.520776
0.561176	|803200.578638
0.561288	|803200.636500
0.561400	|803200.694362
0.561512	|803200.752223
0.561624	|803200.810084
0.561736	|803200.867945
0.561848	|803200.925806
0.561960	|803200.983666
0.562072	|803201.041526
0.562184	|803201.099385
0.562296	|803201.157244
0.562408	|803201.215103
0.562520	|803201.272961
0.562632	|803201.330820
0.562744	|803201.388677
0.562856	|803201.446535
0.562968	|803201.504392
0.563080	|803201.562249
0.563192	|803201.620105
0.563304	|803201.677962
0.563416	|803201.735818
0.563528	|803201.793673
0.563640	|803201.851528
0.563752	|803201.909383
0.563864	|803201.967238
0.563976	|803202.025092
0.564088	|803202.082946
0.564200	|803202.140800
0.564312	|803202.198653
0.564424	|803202.256506
0.564536	|803202.314359
0.564648	|803202.372211
0.564760	|803202.430063
0.564872	|803202.487915
0.564984	|803202.545766
0.565097	|803202.603617
0.565209	|803202.661468
0.565321	|803202.719318
0.565433	|803202.777168
0.565545	|803202.835018
0.565657	|803202.892867
0.565769	|803202.950716
0.565881	|803203.008565
0.565993	|803203.066414
0.566105	|803203.124262
0.566217	|803203.182110
0.566329	|803203.239957
0.566441	|803203.297804
0.566553	|803203.355651
0.566665	|803203.413498
0.566777	|803203.471344
0.566889	|803203.529190
0.567001	|803203.587035
0.567113	|803203.644880
0.567225	|803203.702725
0.567337	|803203.760570
0.567449	|803203.818414
0.567561	|803203.876258
0.567673	|803203.934102
0.567785	|803203.991945
0.567897	|803204.049788
0.568009	|803204.107630
0.568121	|803204.165473
0.568233	|803204.223315
0.568345	|803204.281156
0.568457	|803204.338998
0.568569	|803204.396839
0.568681	|803204.454679
0.568793	|803204.512520
0.568905	|803204.570360
0.569017	|803204.628199
0.569129	|803204.686039
0.569241	|803204.743878
0.569353	|803204.801717
0.569465	|803204.859555
0.569577	|803204.917393
0.569689	|803204.975231
0.569801	|803205.033068
0.569913	|803205.090905
0.570025	|803205.148742
0.570137	|803205.206579
0.570249	|803205.264415
0.570361	|803205.322251
0.570473	|803205.380086
0.570585	|803205.437921
0.570697	|803205.495756
0.570809	|803205.553591
0.570921	|803205.611425
0.571033	|803205.669259
0.571145	|803205.727092
0.571257	|803205.784926
0.571369	|803205.842759
0.571481	|803205.900591
0.571593	|803205.958423
0.571705	|803206.016255
0.571817	|803206.074087
0.571929	|803206.131918
0.572041	|803206.189749
0.572153	|803206.247580
0.572265	|803206.305410
0.572377	|803206.363240
0.572489	|803206.421070
0.572601	|803206.478899
0.572713	|803206.536728
0.572825	|803206.594557
0.572937	|803206.652386
0.573049	|803206.710214
0.573161	|803206.768041
0.573273	|803206.825869
0.573385	|803206.883696
0.573497	|803206.941523
0.573609	|803206.999349
0.573721	|803207.057175
0.573833	|803207.115001
0.573945	|803207.172827
0.574057	|803207.230652
0.574169	|803207.288477
0.574281	|803207.346301
0.574393	|803207.404125
0.574505	|803207.461949
0.574617	|803207.519773
0.574729	|803207.577596
0.574841	|803207.635419
0.574953	|803207.693241
0.575066	|803207.751064
0.575178	|803207.808886
0.575290	|803207.866707
0.575402	|803207.924528
0.575514	|803207.982349
0.575626	|803208.040170
0.575738	|803208.097990
0.575850	|803208.155810
0.575962	|803208.213630
0.576074	|803208.271449
0.576186	|803208.329268
0.576298	|803208.387087
0.576410	|803208.444906
0.576522	|803208.502724
0.576634	|803208.560541
0.576746	|803208.618359
0.576858	|803208.676176
0.576970	|803208.733993
0.577082	|803208.791809
0.577194	|803208.849625
0.577306	|803208.907441
0.577418	|803208.965256
0.577530	|803209.023072
0.577642	|803209.080886
0.577754	|803209.138701
0.577866	|803209.196515
0.577978	|803209.254329
0.578090	|803209.312142
0.578202	|803209.369956
0.578314	|803209.427769
0.578426	|803209.485581
0.578538	|803209.543393
0.578650	|803209.601205
0.578762	|803209.659017
0.578874	|803209.716828
0.578986	|803209.774639
0.579098	|803209.832450
0.579210	|803209.890260
0.579322	|803209.948070
0.579434	|803210.005880
0.579546	|803210.063689
0.579658	|803210.121498
0.579770	|803210.179307
0.579882	|803210.237115
0.579994	|803210.294923
0.580106	|803210.352731
0.580218	|803210.410538
0.580330	|803210.468345
0.580442	|803210.526152
0.580554	|803210.583959
0.580666	|803210.641765
0.580778	|803210.699570
0.580890	|803210.757376
0.581002	|803210.815181
0.581114	|803210.872986
0.581226	|803210.930790
0.581338	|803210.988595
0.581450	|803211.046398
0.581562	|803211.104202
0.581674	|803211.162005
0.581786	|803211.219808
0.581898	|803211.277611
0.582010	|803211.335413
0.582122	|803211.393215
0.582234	|803211.451016
0.582346	|803211.508818
0.582458	|803211.566619
0.582570	|803211.624419
0.582682	|803211.682220
0.582794	|803211.740020
0.582906	|803211.797819
0.583018	|803211.855619
0.583130	|803211.913418
0.583242	|803211.971216
0.583354	|803212.029015
0.583466	|803212.086813
0.583578	|803212.144610
0.583690	|803212.202408
0.583802	|803212.260205
0.583914	|803212.318002
0.584026	|803212.375798
0.584138	|803212.433594
0.584250	|803212.491390
0.584362	|803212.549185
0.584474	|803212.606981
0.584586	|803212.664775
0.584698	|803212.722570
0.584810	|803212.780364
0.584922	|803212.838158
0.585035	|803212.895951
0.585147	|803212.953745
0.585259	|803213.011538
0.585371	|803213.069330
0.585483	|803213.127122
0.585595	|803213.184914
0.585707	|803213.242706
0.585819	|803213.300497
0.585931	|803213.358288
0.586043	|803213.416079
0.586155	|803213.473869
0.586267	|803213.531659
0.586379	|803213.589449
0.586491	|803213.647238
0.586603	|803213.705027
0.586715	|803213.762816
0.586827	|803213.820604
0.586939	|803213.878392
0.587051	|803213.936180
0.587163	|803213.993967
0.587275	|803214.051754
0.587387	|803214.109541
0.587499	|803214.167328
0.587611	|803214.225114
0.587723	|803214.282899
0.587835	|803214.340685
0.587947	|803214.398470
0.588059	|803214.456255
0.588171	|803214.514039
0.588283	|803214.571824
0.588395	|803214.629607
0.588507	|803214.687391
0.588619	|803214.745174
0.588731	|803214.802957
0.588843	|803214.860740
0.588955	|803214.918522
0.589067	|803214.976304
0.589179	|803215.034085
0.589291	|803215.091867
0.589403	|803215.149648
0.589515	|803215.207428
0.589627	|803215.265209
0.589739	|803215.322989
0.589851	|803215.380768
0.589963	|803215.438548
0.590075	|803215.496327
0.590187	|803215.554105
0.590299	|803215.611884
0.590411	|803215.669662
0.590523	|803215.727440
0.590635	|803215.785217
0.590747	|803215.842994
0.590859	|803215.900771
0.590971	|803215.958547
0.591083	|803216.016323
0.591195	|803216.074099
0.591307	|803216.131875
0.591419	|803216.189650
0.591531	|803216.247425
0.591643	|803216.305199
0.591755	|803216.362973
0.591867	|803216.420747
0.591979	|803216.478521
0.592091	|803216.536294
0.592203	|803216.594067
0.592315	|803216.651840
0.592427	|803216.709612
0.592539	|803216.767384
0.592651	|803216.825155
0.592763	|803216.882927
0.592875	|803216.940698
0.592987	|803216.998468
0.593099	|803217.056239
0.593211	|803217.114009
0.593323	|803217.171778
0.593435	|803217.229548
0.593547	|803217.287317
0.593659	|803217.345086
0.593771	|803217.402854
0.593883	|803217.460622
0.593995	|803217.518390
0.594107	|803217.576157
0.594219	|803217.633924
0.594331	|803217.691691
0.594443	|803217.749458
0.594555	|803217.807224
0.594667	|803217.864990
0.594779	|803217.922755
0.594891	|803217.980520
0.595004	|803218.038285
0.595116	|803218.096050
0.595228	|803218.153814
0.595340	|803218.211578
0.595452	|803218.269341
0.595564	|803218.327105
0.595676	|803218.384868
0.595788	|803218.442630
0.595900	|803218.500392
0.596012	|803218.558154
0.596124	|803218.615916
0.596236	|803218.673677
0.596348	|803218.731438
0.596460	|803218.789199
0.596572	|803218.846959
0.596684	|803218.904719
0.596796	|803218.962479
0.596908	|803219.020239
0.597020	|803219.077998
0.597132	|803219.135756
0.597244	|803219.193515
0.597356	|803219.251273
0.597468	|803219.309031
0.597580	|803219.366788
0.597692	|803219.424545
0.597804	|803219.482302
0.597916	|803219.540059
0.598028	|803219.597815
0.598140	|803219.655571
0.598252	|803219.713326
0.598364	|803219.771081
0.598476	|803219.828836
0.598588	|803219.886591
0.598700	|803219.944345
0.598812	|803220.002099
0.598924	|803220.059853
0.599036	|803220.117606
0.599148	|803220.175359
0.599260	|803220.233111
0.599372	|803220.290864
0.599484	|803220.348616
0.599596	|803220.406367
0.599708	|803220.464119
0.599820	|803220.521870
0.599932	|803220.579621
0.600044	|803220.637371
0.600156	|803220.695121
0.600268	|803220.752871
0.600380	|803220.810620
0.600492	|803220.868369
0.600604	|803220.926118
0.600716	|803220.983866
0.600828	|803221.041615
0.600940	|803221.099362
0.601052	|803221.157110
0.601164	|803221.214857
0.601276	|803221.272604
0.601388	|803221.330350
0.601500	|803221.388097
0.601612	|803221.445843
0.601724	|803221.503588
0.601836	|803221.561333
0.601948	|803221.619078
0.602060	|803221.676823
0.602172	|803221.734567
0.602284	|803221.792311
0.602396	|803221.850055
0.602508	|803221.907798
0.602620	|803221.965541
0.602732	|803222.023284
0.602844	|803222.081026
0.602956	|803222.138768
0.603068	|803222.196510
0.603180	|803222.254251
0.603292	|803222.311992
0.603404	|803222.369733
0.603516	|803222.427473
0.603628	|803222.485213
0.603740	|803222.542953
0.603852	|803222.600693
0.603964	|803222.658432
0.604076	|803222.716171
0.604188	|803222.773909
0.604300	|803222.831647
0.604412	|803222.889385
0.604524	|803222.947123
0.604636	|803223.004860
0.604748	|803223.062597
0.604860	|803223.120333
0.604972	|803223.178070
0.605085	|803223.235806
0.605197	|803223.293541
0.605309	|803223.351276
0.605421	|803223.409011
0.605533	|803223.466746
0.605645	|803223.524480
0.605757	|803223.582214
0.605869	|803223.639948
0.605981	|803223.697681
0.606093	|803223.755414
0.606205	|803223.813147
0.606317	|803223.870879
0.606429	|803223.928612
0.606541	|803223.986343
0.606653	|803224.044075
0.606765	|803224.101806
0.606877	|803224.159537
0.606989	|803224.217267
0.607101	|803224.274997
0.607213	|803224.332727
0.607325	|803224.390457
0.607437	|803224.448186
0.607549	|803224.505915
0.607661	|803224.563643
0.607773	|803224.621371
0.607885	|803224.679099
0.607997	|803224.736827
0.608109	|803224.794554
0.608221	|803224.852281
0.608333	|803224.910008
0.608445	|803224.967734
0.608557	|803225.025460
0.608669	|803225.083185
0.608781	|803225.140911
0.608893	|803225.198636
0.609005	|803225.256361
0.609117	|803225.314085
0.609229	|803225.371809
0.609341	|803225.429533
0.609453	|803225.487256
0.609565	|803225.544979
0.609677	|803225.602702
0.609789	|803225.660424
0.609901	|803225.718146
0.610013	|803225.775868
0.610125	|803225.833590
0.610237	|803225.891311
0.610349	|803225.949032
0.610461	|803226.006752
0.610573	|803226.064472
0.610685	|803226.122192
0.610797	|803226.179912
0.610909	|803226.237631
0.611021	|803226.295350
0.611133	|803226.353069
0.611245	|803226.410787
0.611357	|803226.468505
0.611469	|803226.526222
0.611581	|803226.583940
0.611693	|803226.641657
0.611805	|803226.699373
0.611917	|803226.757090
0.612029	|803226.814806
0.612141	|803226.872521
0.612253	|803226.930237
0.612365	|803226.987952
0.612477	|803227.045667
0.612589	|803227.103381
0.612701	|803227.161095
0.612813	|803227.218809
0.612925	|803227.276522
0.613037	|803227.334235
0.613149	|803227.391948
0.613261	|803227.449661
0.613373	|803227.507373
0.613485	|803227.565085
0.613597	|803227.622796
0.613709	|803227.680507
0.613821	|803227.738218
0.613933	|803227.795929
0.614045	|803227.853639
0.614157	|803227.911349
0.614269	|803227.969059
0.614381	|803228.026768
0.614493	|803228.084477
0.614605	|803228.142186
0.614717	|803228.199894
0.614829	|803228.257602
0.614941	|803228.315310
0.615054	|803228.373017
0.615166	|803228.430724
0.615278	|803228.488431
0.615390	|803228.546137
0.615502	|803228.603843
0.615614	|803228.661549
0.615726	|803228.719254
0.615838	|803228.776959
0.615950	|803228.834664
0.616062	|803228.892369
0.616174	|803228.950073
0.616286	|803229.007777
0.616398	|803229.065480
0.616510	|803229.123183
0.616622	|803229.180886
0.616734	|803229.238589
0.616846	|803229.296291
0.616958	|803229.353993
0.617070	|803229.411695
0.617182	|803229.469396
0.617294	|803229.527097
0.617406	|803229.584797
0.617518	|803229.642498
0.617630	|803229.700198
0.617742	|803229.757897
0.617854	|803229.815597
0.617966	|803229.873296
0.618078	|803229.930994
0.618190	|803229.988693
0.618302	|803230.046391
0.618414	|803230.104089
0.618526	|803230.161786
0.618638	|803230.219483
0.618750	|803230.277180
0.618862	|803230.334876
0.618974	|803230.392573
0.619086	|803230.450268
0.619198	|803230.507964
0.619310	|803230.565659
0.619422	|803230.623354
0.619534	|803230.681048
0.619646	|803230.738743
0.619758	|803230.796437
0.619870	|803230.854130
0.619982	|803230.911823
0.620094	|803230.969516
0.620206	|803231.027209
0.620318	|803231.084901
0.620430	|803231.142593
0.620542	|803231.200285
0.620654	|803231.257976
0.620766	|803231.315667
0.620878	|803231.373358
0.620990	|803231.431048
0.621102	|803231.488738
0.621214	|803231.546428
0.621326	|803231.604118
0.621438	|803231.661807
0.621550	|803231.719495
0.621662	|803231.777184
0.621774	|803231.834872
0.621886	|803231.892560
0.621998	|803231.950247
0.622110	|803232.007934
0.622222	|803232.065621
0.622334	|803232.123308
0.622446	|803232.180994
0.622558	|803232.238680
0.622670	|803232.296366
0.622782	|803232.354051
0.622894	|803232.411736
0.623006	|803232.469420
0.623118	|803232.527105
0.623230	|803232.584789
0.623342	|803232.642472
0.623454	|803232.700156
0.623566	|803232.757839
0.623678	|803232.815521
0.623790	|803232.873204
0.623902	|803232.930886
0.624014	|803232.988567
0.624126	|803233.046249
0.624238	|803233.103930
0.624350	|803233.161611
0.624462	|803233.219291
0.624574	|803233.276971
0.624686	|803233.334651
0.624798	|803233.392331
0.624910	|803233.450010
0.625023	|803233.507689
0.625135	|803233.565367
0.625247	|803233.623045
0.625359	|803233.680723
0.625471	|803233.738401
0.625583	|803233.796078
0.625695	|803233.853755
0.625807	|803233.911432
0.625919	|803233.969108
0.626031	|803234.026784
0.626143	|803234.084460
0.626255	|803234.142135
0.626367	|803234.199810
0.626479	|803234.257485
0.626591	|803234.315159
0.626703	|803234.372833
0.626815	|803234.430507
0.626927	|803234.488180
0.627039	|803234.545853
0.627151	|803234.603526
0.627263	|803234.661198
0.627375	|803234.718871
0.627487	|803234.776542
0.627599	|803234.834214
0.627711	|803234.891885
0.627823	|803234.949556
0.627935	|803235.007226
0.628047	|803235.064897
0.628159	|803235.122567
0.628271	|803235.180236
0.628383	|803235.237905
0.628495	|803235.295574
0.628607	|803235.353243
0.628719	|803235.410911
0.628831	|803235.468579
0.628943	|803235.526247
0.629055	|803235.583914
0.629167	|803235.641581
0.629279	|803235.699248
0.629391	|803235.756914
0.629503	|803235.814580
0.629615	|803235.872246
0.629727	|803235.929911
0.629839	|803235.987577
0.629951	|803236.045241
0.630063	|803236.102906
0.630175	|803236.160570
0.630287	|803236.218234
0.630399	|803236.275897
0.630511	|803236.333560
0.630623	|803236.391223
0.630735	|803236.448886
0.630847	|803236.506548
0.630959	|803236.564210
0.631071	|803236.621871
0.631183	|803236.679533
0.631295	|803236.737194
0.631407	|803236.794854
0.631519	|803236.852515
0.631631	|803236.910175
0.631743	|803236.967834
0.631855	|803237.025494
0.631967	|803237.083153
0.632079	|803237.140811
0.632191	|803237.198470
0.632303	|803237.256128
0.632415	|803237.313785
0.632527	|803237.371443
0.632639	|803237.429100
0.632751	|803237.486757
0.632863	|803237.544413
0.632975	|803237.602069
0.633087	|803237.659725
0.633199	|803237.717381
0.633311	|803237.775036
0.633423	|803237.832691
0.633535	|803237.890345
0.633647	|803237.948000
0.633759	|803238.005653
0.633871	|803238.063307
0.633983	|803238.120960
0.634095	|803238.178613
0.634207	|803238.236266
0.634319	|803238.293918
0.634431	|803238.351570
0.634543	|803238.409222
0.634655	|803238.466873
0.634767	|803238.524524
0.634879	|803238.582175
0.634991	|803238.639825
0.635104	|803238.697475
0.635216	|803238.755125
0.635328	|803238.812775
0.635440	|803238.870424
0.635552	|803238.928073
0.635664	|803238.985721
0.635776	|803239.043369
0.635888	|803239.101017
0.636000	|803239.158664
0.636112	|803239.216312
0.636224	|803239.273959
0.636336	|803239.331605
0.636448	|803239.389251
0.636560	|803239.446897
0.636672	|803239.504543
0.636784	|803239.562188
0.636896	|803239.619833
0.637008	|803239.677478
0.637120	|803239.735122
0.637232	|803239.792766
0.637344	|803239.850410
0.637456	|803239.908053
0.637568	|803239.965696
0.637680	|803240.023339
0.637792	|803240.080981
0.637904	|803240.138623
0.638016	|803240.196265
0.638128	|803240.253907
0.638240	|803240.311548
0.638352	|803240.369189
0.638464	|803240.426829
0.638576	|803240.484469
0.638688	|803240.542109
0.638800	|803240.599749
0.638912	|803240.657388
0.639024	|803240.715027
0.639136	|803240.772665
0.639248	|803240.830304
0.639360	|803240.887942
0.639472	|803240.945579
0.639584	|803241.003216
0.639696	|803241.060853
0.639808	|803241.118490
0.639920	|803241.176126
0.640032	|803241.233763
0.640144	|803241.291398
0.640256	|803241.349034
0.640368	|803241.406669
0.640480	|803241.464303
0.640592	|803241.521938
0.640704	|803241.579572
0.640816	|803241.637206
0.640928	|803241.694839
0.641040	|803241.752472
0.641152	|803241.810105
0.641264	|803241.867738
0.641376	|803241.925370
0.641488	|803241.983002
0.641600	|803242.040633
0.641712	|803242.098265
0.641824	|803242.155896
0.641936	|803242.213526
0.642048	|803242.271156
0.642160	|803242.328786
0.642272	|803242.386416
0.642384	|803242.444045
0.642496	|803242.501674
0.642608	|803242.559303
0.642720	|803242.616931
0.642832	|803242.674559
0.642944	|803242.732187
0.643056	|803242.789815
0.643168	|803242.847442
0.643280	|803242.905068
0.643392	|803242.962695
0.643504	|803243.020321
0.643616	|803243.077947
0.643728	|803243.135572
0.643840	|803243.193198
0.643952	|803243.250822
0.644064	|803243.308447
0.644176	|803243.366071
0.644288	|803243.423695
0.644400	|803243.481319
0.644512	|803243.538942
0.644624	|803243.596565
0.644736	|803243.654187
0.644848	|803243.711810
0.644960	|803243.769432
0.645073	|803243.827053
0.645185	|803243.884675
0.645297	|803243.942296
0.645409	|803243.999917
0.645521	|803244.057537
0.645633	|803244.115157
0.645745	|803244.172777
0.645857	|803244.230396
0.645969	|803244.288015
0.646081	|803244.345634
0.646193	|803244.403253
0.646305	|803244.460871
0.646417	|803244.518489
0.646529	|803244.576106
0.646641	|803244.633723
0.646753	|803244.691340
0.646865	|803244.748957
0.646977	|803244.806573
0.647089	|803244.864189
0.647201	|803244.921805
0.647313	|803244.979420
0.647425	|803245.037035
0.647537	|803245.094650
0.647649	|803245.152264
0.647761	|803245.209878
0.647873	|803245.267492
0.647985	|803245.325105
0.648097	|803245.382718
0.648209	|803245.440331
0.648321	|803245.497943
0.648433	|803245.555555
0.648545	|803245.613167
0.648657	|803245.670779
0.648769	|803245.728390
0.648881	|803245.786001
0.648993	|803245.843611
0.649105	|803245.901221
0.649217	|803245.958831
0.649329	|803246.016441
0.649441	|803246.074050
0.649553	|803246.131659
0.649665	|803246.189267
0.649777	|803246.246876
0.649889	|803246.304484
0.650001	|803246.362091
0.650113	|803246.419699
0.650225	|803246.477306
0.650337	|803246.534912
0.650449	|803246.592519
0.650561	|803246.650125
0.650673	|803246.707731
0.650785	|803246.765336
0.650897	|803246.822941
0.651009	|803246.880546
0.651121	|803246.938150
0.651233	|803246.995754
0.651345	|803247.053358
0.651457	|803247.110962
0.651569	|803247.168565
0.651681	|803247.226168
0.651793	|803247.283770
0.651905	|803247.341373
0.652017	|803247.398975
0.652129	|803247.456576
0.652241	|803247.514177
0.652353	|803247.571778
0.652465	|803247.629379
0.652577	|803247.686979
0.652689	|803247.744579
0.652801	|803247.802179
0.652913	|803247.859778
0.653025	|803247.917377
0.653137	|803247.974976
0.653249	|803248.032575
0.653361	|803248.090173
0.653473	|803248.147770
0.653585	|803248.205368
0.653697	|803248.262965
0.653809	|803248.320562
0.653921	|803248.378158
0.654033	|803248.435755
0.654145	|803248.493350
0.654257	|803248.550946
0.654369	|803248.608541
0.654481	|803248.666136
0.654593	|803248.723731
0.654705	|803248.781325
0.654817	|803248.838919
0.654929	|803248.896513
0.655042	|803248.954106
0.655154	|803249.011699
0.655266	|803249.069292
0.655378	|803249.126884
0.655490	|803249.184476
0.655602	|803249.242068
0.655714	|803249.299659
0.655826	|803249.357250
0.655938	|803249.414841
0.656050	|803249.472431
0.656162	|803249.530022
0.656274	|803249.587611
0.656386	|803249.645201
0.656498	|803249.702790
0.656610	|803249.760379
0.656722	|803249.817968
0.656834	|803249.875556
0.656946	|803249.933144
0.657058	|803249.990731
0.657170	|803250.048319
0.657282	|803250.105905
0.657394	|803250.163492
0.657506	|803250.221078
0.657618	|803250.278664
0.657730	|803250.336250
0.657842	|803250.393835
0.657954	|803250.451421
0.658066	|803250.509005
0.658178	|803250.566590
0.658290	|803250.624174
0.658402	|803250.681758
0.658514	|803250.739341
0.658626	|803250.796924
0.658738	|803250.854507
0.658850	|803250.912089
0.658962	|803250.969672
0.659074	|803251.027254
0.659186	|803251.084835
0.659298	|803251.142416
0.659410	|803251.199997
0.659522	|803251.257578
0.659634	|803251.315158
0.659746	|803251.372738
0.659858	|803251.430318
0.659970	|803251.487897
0.660082	|803251.545476
0.660194	|803251.603055
0.660306	|803251.660633
0.660418	|803251.718211
0.660530	|803251.775789
0.660642	|803251.833366
0.660754	|803251.890943
0.660866	|803251.948520
0.660978	|803252.006097
0.661090	|803252.063673
0.661202	|803252.121249
0.661314	|803252.178824
0.661426	|803252.236399
0.661538	|803252.293974
0.661650	|803252.351549
0.661762	|803252.409123
0.661874	|803252.466697
0.661986	|803252.524270
0.662098	|803252.581844
0.662210	|803252.639417
0.662322	|803252.696989
0.662434	|803252.754562
0.662546	|803252.812134
0.662658	|803252.869705
0.662770	|803252.927277
0.662882	|803252.984848
0.662994	|803253.042419
0.663106	|803253.099989
0.663218	|803253.157559
0.663330	|803253.215129
0.663442	|803253.272698
0.663554	|803253.330267
0.663666	|803253.387836
0.663778	|803253.445405
0.663890	|803253.502973
0.664002	|803253.560541
0.664114	|803253.618108
0.664226	|803253.675676
0.664338	|803253.733243
0.664450	|803253.790809
0.664562	|803253.848376
0.664674	|803253.905942
0.664786	|803253.963507
0.664898	|803254.021073
0.665011	|803254.078638
0.665123	|803254.136202
0.665235	|803254.193767
0.665347	|803254.251331
0.665459	|803254.308894
0.665571	|803254.366458
0.665683	|803254.424021
0.665795	|803254.481584
0.665907	|803254.539146
0.666019	|803254.596708
0.666131	|803254.654270
0.666243	|803254.711832
0.666355	|803254.769393
0.666467	|803254.826954
0.666579	|803254.884514
0.666691	|803254.942075
0.666803	|803254.999635
0.666915	|803255.057194
0.667027	|803255.114754
0.667139	|803255.172313
0.667251	|803255.229871
0.667363	|803255.287430
0.667475	|803255.344988
0.667587	|803255.402545
0.667699	|803255.460103
0.667811	|803255.517660
0.667923	|803255.575217
0.668035	|803255.632773
0.668147	|803255.690329
0.668259	|803255.747885
0.668371	|803255.805441
0.668483	|803255.862996
0.668595	|803255.920551
0.668707	|803255.978105
0.668819	|803256.035659
0.668931	|803256.093213
0.669043	|803256.150767
0.669155	|803256.208320
0.669267	|803256.265873
0.669379	|803256.323426
0.669491	|803256.380978
0.669603	|803256.438530
0.669715	|803256.496082
0.669827	|803256.553633
0.669939	|803256.611184
0.670051	|803256.668735
0.670163	|803256.726285
0.670275	|803256.783835
0.670387	|803256.841385
0.670499	|803256.898935
0.670611	|803256.956484
0.670723	|803257.014033
0.670835	|803257.071581
0.670947	|803257.129129
0.671059	|803257.186677
0.671171	|803257.244225
0.671283	|803257.301772
0.671395	|803257.359319
0.671507	|803257.416865
0.671619	|803257.474412
0.671731	|803257.531958
0.671843	|803257.589503
0.671955	|803257.647049
0.672067	|803257.704594
0.672179	|803257.762138
0.672291	|803257.819683
0.672403	|803257.877227
0.672515	|803257.934771
0.672627	|803257.992314
0.672739	|803258.049857
0.672851	|803258.107400
0.672963	|803258.164943
0.673075	|803258.222485
0.673187	|803258.280027
0.673299	|803258.337568
0.673411	|803258.395109
0.673523	|803258.452650
0.673635	|803258.510191
0.673747	|803258.567731
0.673859	|803258.625271
0.673971	|803258.682811
0.674083	|803258.740350
0.674195	|803258.797889
